id,"name","image_url","address","access","tele","open_hour","price","rental","parking","lesson","kid","homepage","created_at","updated_at","holiday","prefecture"
16,"フィッシュ＆バード ［江東区］","http://www.climbing-net.com/wp-content/uploads/2014/03/fishbird_4.jpg","〒135-0016
東京都江東区東陽7-4-12","地下鉄東西線 東陽町駅より徒歩9分","03-5633-7883","平日14:00～23:00
土日祝10:00～21:00","【税別価格】
初回登録料：￥1500
１日料金：平日￥1800、土日祝￥2000
夜間料金・時間帯：￥1500（20:00～23:00）","シューズ：￥300
チョーク：￥200","-","-","可
※ご利用に制限がありますので、ジムまでお問い合わせください","http://fish-bird.co.jp/","2015-07-21 14:57:27","2015-07-21 14:57:27","なし","東京都"
17,"ヘッドロック クライミングジム ［墨田］","http://www.climbing-net.com/wp-content/uploads/2014/01/headrock_1.jpg","〒130-0024
東京都墨田区菊川1-10-10","都営新宿線 菊川駅A１出口より徒歩2分／都営大江戸線 森下駅A4出口より徒歩7分／東京メトロ 清澄白河駅Ｂ2出口より徒歩10分","03-6659-5843","月金13:00～23:00
火水木13:00～23:30
土日祝10:00～21:00","【税込価格】
初回登録料：￥1500
１日料金：￥1500
夜間料金・時間帯：平日￥1300、土日祝￥1500（19:00～閉店）※￥1000（平日22:00～）","シューズ：￥300
チョーク：￥200","-","初めての方対象","可
６歳から（平日18:30／土日祝14:00まで）","http://headrock-climbing.jp","2015-07-21 14:57:27","2015-07-21 14:57:27","なし（年末年始および施設点検日に休業あり）","東京都"
18,"Bouldering space BLEAU（ブロー）［高円寺］","http://www.climbing-net.com/wp-content/uploads/2014/01/bleau_10.jpeg","〒166-0003
東京都杉並区高円寺南3-6-3","東京メトロ 新高円寺駅より徒歩4分／JR高円寺駅より徒歩13分／青梅街道沿い","03-6762-2283","平日13:00～23:00
土日祝13:00～22:00","【税込価格】
初回登録料：￥1600 ※紹介割引あり
１日料金：平日￥1700、土日祝￥2000（学割あり）","シューズ：￥300
チョーク：￥100","-","ビギナーレッスン（１時間×３回￥10000）予約制","可
小学生以上（保護者同伴必要）","http://bouldering-bleau.com","2015-07-21 14:57:28","2015-07-21 14:57:28","なし","東京都"
19,"スポドリ！［後楽園］","http://www.climbing-net.com/wp-content/uploads/2013/09/spodori_09.jpg","〒112-8575
東京都文京区後楽1-3-61 東京ドームシティ内 黄色いビル3F","JR水道橋駅より徒歩3分／JR都営三田線水道橋駅より徒歩5分／東京メトロ丸ノ内・南北線 後楽園駅より徒歩5分","03-3812-4415","10:00～22:00","【税込価格】
初回登録料：￥800
１日料金：￥1700
夜間料金・時間帯：￥1500（20:00～）","シューズ：￥300
チョーク：￥210","有／30分￥400／約700台","-","可
※小学生～18歳未満
（18歳未満の利用者は保護者の同伴が必要／小中学生の利用者は18歳以上のボルダリング会員の同伴が必要／未就学児の利用不可）","http://www.tokyo-dome.co.jp/spo-dori/","2015-07-21 14:57:29","2015-07-21 14:57:29","年中無休","東京都"
20,"クライミングジム ウエストロック 府中店","http://www.climbing-net.com/wp-content/uploads/2013/09/westrock_1.jpg","〒183-0033
東京都府中市分梅町5-9-1","京王線中河原駅より徒歩5分／京王線・南武線分倍河原駅より徒歩10分","042-306-6341","平日13:00～23:00
土曜10:00～22:00
日祝10:00～21:00","【税込価格】
初回登録料：￥1295
１日料金：平日￥1620、土日祝￥1835
閉店2時間前：平日￥1295、土日祝￥1400","シューズ：￥215
チョーク：￥105","有／無料／10台","-","可
小学1年生から利用可能","http://www.westrock-climbing.com/","2015-07-21 14:57:29","2015-07-21 14:57:29","なし","東京都"
21,"Rock&Wall ［青山］","http://www.climbing-net.com/wp-content/uploads/2013/09/rockwall_1.jpg","〒150-0002
東京都渋谷区渋谷2-6-12 ベルデ青山ビル1F","渋谷駅より徒歩6分／東京メトロ 表参道駅より徒歩6分","03-3409-6965","10:00～22:30","【税別価格】
初回登録料：￥3000
１日料金：￥3000
夜間料金・時間帯：￥2000（21:00～22:30）","シューズ：￥300
チョーク：無料","無／近くにコインパーキングあり","-","可
小学生以上","http://www.rockandwall.jp/","2015-07-21 14:57:30","2015-07-21 14:57:30","なし","東京都"
22,"クライミングジム クリンプ ［蒲田］","http://www.climbing-net.com/wp-content/uploads/2013/09/krimp_1.jpg","〒144-0052
東京都大田区蒲田3-14-15　ロイヤルプラザB1F","京急線京急蒲田駅から徒歩2分／JR京浜東北線蒲田駅から徒歩7分","03-6715-9967","平日13:00～23:00
土曜11:00～22:00
日祝10:00～21:00","【税込価格】
登録料：￥1080
一般：平日￥1620円（21:00～￥1296)、土日祝￥2160（18:00～￥1620）
大学/専門：平日￥1296（21:00～￥1080)、土日祝￥1620（18:00～￥1296）
中学/高校：平日￥864、土日祝￥1080
小学生：平日￥648、土日祝￥1080","シューズ：￥324
チョーク：無料","-","-","可
小学生以上から利用可能","http://krimp.jp/","2015-07-21 14:57:31","2015-07-21 14:57:31","第一月曜日","東京都"
23,"クライミングスクール・ジム　J&S駒沢","http://www.climbing-net.com/wp-content/uploads/2013/09/js_komazawa_1.jpg","〒154-0012
東京都世田谷区駒沢2-11-5 New Value 駒沢ビル 8F","東急田園都市線 駒沢大学駅から徒歩3分","03-3410-5310","平日16:00～23:00（レッスンとフリーパスの方は13時～） 
土日祝12:00～20:00","【税込価格】
初回登録料：￥2000
１日料金：￥2000","シューズ：￥500
チョーク：無料","なし（近隣にコインパーキングあり）","自己流で始めた方、行き詰まりの方に、いいレッスンあります！ 正しいホールドの持ち方、理にかなったフォーム、間違えないムーブ、等々のクライミング矯正レッスンをご用意しています。","可
※必ず保護者が同伴して下さい（詳細はお問い合わせ下さい）","http://jskomazawa.web.fc2.com/","2015-07-21 14:57:31","2015-07-21 14:57:31","なし","東京都"
24,"ボルダリングスペース Geode ジオード ［五反野］","http://www.climbing-net.com/wp-content/uploads/2013/07/gymimage_geode_1.jpg","〒120-0013
東京都足立区弘道1-5-20 第三弘道プラザ１F","東武スカイツリーライン五反野駅より徒歩5分","03-5888-5508","平日15:00～23:00
土日祝12:00～20:00","【税込価格】
初回登録料：￥1000
１日料金： 一般￥1600、大学専門￥1200、高校生以下￥800
火曜日レディースデイ　祝日の場合翌日：一般￥1000、大学専門￥800、高校生以下￥600
夜間料金・時間帯：一般￥1200、大学専門￥900（Close 2時間15分前）","シューズ：￥300
チョーク： 無料","-","-","可
小学生以上（小中学生の利用は平日18:30、土日祝16:00まで）","http://geodeblog.blog.fc2.com/","2015-07-21 14:57:32","2015-07-21 14:57:32","月曜不定休","東京都"
25,"クライミングジムNOSE 町田店","http://www.climbing-net.com/wp-content/uploads/2013/07/IMG_1152.jpg","〒294-0002
東京都町田市南つくし野3-1-3 CKすずかけ台1・2F","東急田園都市線すずかけ台駅より徒歩3分／東名高速横浜町田ICより3分","042-850-6474","平日13:00〜22:30
土日祝10:00〜21:00","【税別価格】
初回登録料：￥500
１日料金：￥2000
夜間料金・時間帯：￥1500（18:00～）","シューズ：￥300
ハーネス：￥300
ビレイ器具：￥500","-","体験ボルダリング、体験ロープクライミング、トップロープクライミング講習、リードクライミング講習、クライミングスクール","可
※利用上の注意を自分で守れる方","http://www.nose2.org","2015-07-21 14:57:40","2015-07-21 14:57:40","月曜 （祝日の場合は翌日）","東京都"
26,"UNDER GROUND ［東十条］","http://www.climbing-net.com/wp-content/uploads/2013/04/240-2.jpg","〒114-0001
東京都北区東十条3-1-14　ライフエールマンションB1F","JR東十条駅より徒歩3分／JR十条駅、東京メトロ南北線王子神谷駅より徒歩10分","03-5944-6680","平日14:00～23:00
土曜10:00～23:00
日祝日10:00～21:00","【税込価格】
初回登録料：￥1000
１日料金：平日￥2000、土日祝￥2000
夜間料金・時間帯：平日のみ￥1600（18:00～）￥1300（21:00～）
毎週金曜　レディースデイ　￥1200（祝日を除く）他、学生料金・シニア料金など","シューズ：￥300
チョーク：無料","-","企画準備中","可　5才～
※詳細はホームページをご覧下さい。","http://www.underground-climb.com","2015-07-21 14:57:40","2015-07-21 14:57:40","年末年始、及びホールド替え・イベント等による臨時休業","東京都"
27,"クライミングジム セル［経堂］","http://www.climbing-net.com/wp-content/uploads/2012/12/072-12.jpg","〒156-0052東京都世田谷区経堂1-23-3","小田急線経堂駅より徒歩3分","03-3429-5367","平日12:00〜22:00
土日祝10:00〜21:00","初回登録料：￥2100
１日料金：￥1890
２時間：￥1050","シューズ：￥315
ハーネス：￥315
チョーク：￥315","-","-","可
専用壁あり
専用時間帯あり（open〜18:00）
キッズ向け用具レンタルあり
レッスンあり　対象年齢：5歳〜12歳","http://www.setagaya-climbing.com","2015-07-21 14:57:41","2015-07-21 14:57:41","不定休、年末年始(12/31〜1/1)","東京都"
28,"クライミングジム バーチ ［西八王子］","http://www.climbing-net.com/wp-content/uploads/2012/08/VACSHOP.jpg","〒193-0832東京都八王子市散田町3-17-11 NSビルB1F","JR西八王子駅南口より徒歩3分","042-689-5450","平日10:00～22:30土日祝10:00～22:00","【税込価格】
初回登録料：￥1000１日料金：￥1700夜間料金・時間帯：￥1200（21:00〜）","シューズ：￥300チョーク：￥200","-","定期的に開催しています","可キッズ向け用具レンタルあり（チョーク、レンタルシューズ21cm〜）レッスンあり対象年齢：5歳〜12歳","http://www.e7a.jp/vac/","2015-07-21 14:57:42","2015-07-21 14:57:42","毎月第1月曜日（祝日の場合は翌の火曜休）","東京都"
29,"クライミングスタジオ カメロパルダリス ［立川］","http://www.climbing-net.com/wp-content/uploads/2012/12/087-1.jpg","〒196-0033東京都昭島市東町3-4-11","JR青梅線西立川駅より徒歩5分","042-541-5566","平日14:00〜22:30土日祝9:00〜20:00","【税込価格】
初回登録料：￥500１日料金：￥1800４時間：￥1500夜間料金・時間帯：￥1200（20:30〜）","シューズ：￥200チョーク：￥100","-","初心者講習￥4200","可キッズ向け用具レンタルありレッスンあり対象年齢：6歳〜10歳","http://camelopardalis-tokyo.com","2015-07-21 14:57:42","2015-07-21 14:57:42","火曜（祝日の場合は翌日）","東京都"
30,"クライミングジム・MABOO ［武蔵村山］","http://www.climbing-net.com/wp-content/uploads/2012/07/P8231272_R.jpg","〒208-0023
東京都武蔵村山市伊奈平1-72-1","JR昭島駅よりバス15分／イオンモール武蔵村山より徒歩10分","042-569-0224","平日15:00～24:00
土日祝13:00～24:00","【税込価格】
初回登録料：￥1050
１日料金：￥1980
夜間料金・時間帯：￥1250（22:00～24:00）","シューズ：￥300
チョーク：無料","有／無料／15台","フォームの矯正を主としたプライベートレッスン
※詳細はホームページをご覧下さい","10歳以上から","http://www.maboo.jp","2015-07-21 14:57:43","2015-07-21 14:57:43","火曜","東京都"
31,"クライミングフロント カランバ ［青梅］","http://www.climbing-net.com/wp-content/uploads/2012/12/085-1.jpg","〒190-1231東京都西多摩郡瑞穂町長岡長谷部264","JR八高線 箱根ケ崎駅より徒歩30分／圏央道青梅ICより5分・青梅街道沿い","042-557-7500","平日13:00〜22:00土日祝10:00〜20:00","初回登録料：￥1050１日料金：平日￥1575、土日祝￥1890","シューズ：￥315","有／無料／10台","-","可小学生以上","http://www.caramba.jp","2015-07-21 14:57:44","2015-07-21 14:57:44","月曜","東京都"
32,"クライミングジム RockBeans ［八王子］","http://www.climbing-net.com/wp-content/uploads/2012/12/084-1.jpg","〒192-0073東京都八王子市寺町22","JR八王子駅より徒歩8分／京王八王子駅より徒歩12分","042-657-7584","15:00～22:30","【税込価格】
初回登録料：￥1300４時間：￥1600","シューズ：￥300チョーク：￥100","-","BASIC LESSON ￥6000／1時間　（要予約）　","12歳以下不可","http://rockbeans.com","2015-07-21 14:57:45","2015-07-21 14:57:45","月曜（祝日の場合は翌日）","東京都"
33,"T-WALL 東村山店","http://www.climbing-net.com/wp-content/uploads/2012/12/082-1.jpg","〒189-0014東京都東村山市本町2-7-1","西武新宿線・国分寺線東村山駅より徒歩4分","042-396-4451","平日13:30〜22:30土日祝10:00〜20:00","初回登録料：￥540１日料金：￥1944、￥1620（平日〜18:00）夜間料金・時間帯：￥1620（平日・土日祝日18:00〜）、￥1296（平日21:00〜）","シューズ：￥432チョーク：￥216","有／／8台","-","可※詳細はホームページをご覧下さい","http://twall.jp/","2015-07-21 14:57:45","2015-07-21 14:57:45","金曜","東京都"
34,"クライミングジム・ランナウト ［国分寺］","http://www.climbing-net.com/wp-content/uploads/2012/12/081-12.jpg","〒185-0013東京都国分寺市西恋ヶ窪1-43-7","JR中央線・武蔵野線西国分寺駅より徒歩4分","042-322-8133","平日13:00〜22:30土10:00〜21:00日祝9:00〜19:00","初回登録料：￥1000１日料金：￥2100（ボルダーのみ￥1700）３時間：￥1600（ボルダーのみ￥1400）１時間：￥1300（ボルダーのみ￥1100）","シューズ：￥300ハーネス：￥300チョーク：￥100ロープ：￥500","有／￥300／10台","-","可（保護者がロープ操作をすることを条件にロープエリアの利用のみ可能。ボルダリングルームの利用は中学生以上）キッズ向け用具レンタルあり対象年齢：3歳〜11歳","http://www.runout.info/","2015-07-21 14:57:46","2015-07-21 14:57:46","月曜（祝日の場合は翌日）","東京都"
35,"フィッツクライミングジム ［町田］","http://www.climbing-net.com/wp-content/uploads/2012/12/080-11.jpg","〒195-0062東京都町田市大蔵町208-1","小田急線鶴川駅より徒歩10分／金井入口交差点そば、マクドナルド向かい","042-708-8104","平日13:00～22:30土日祝10:00～20:00","【税込価格】
初回登録料：￥1000１日料金：平日￥1700、土日祝￥2000夜間料金・時間帯：￥1200（平日21:00～）","シューズ：￥300ハーネス：無料チョーク：￥200ビレイ器具：無料ロープ：無料","有／無料／約20台","水・金・土の３日開催　スタッフは国体出場経験もあり経験豊富","可専用壁あり専用時間帯ありキッズ向け用具レンタルありレッスンあり対象年齢：5歳〜12歳","http://www.fitsclimbing.com/index.html　","2015-07-21 14:57:54","2015-07-21 14:57:54","第1月曜","東京都"
36,"クライミングジム ウエストロック 調布店","http://www.climbing-net.com/wp-content/uploads/2012/12/079-11.jpg","〒182-0033東京都調布市富士見町1-20-3","京王線西調布駅北口より徒歩約5分／中央道調布ICより1分／京王バス武91系統・小田急バス境91系統、浄水場下車1分","042-444-4394","平日13:00～23:00
土曜10:00～22:00
日祝10:00～21:00","【税込価格】
初回登録料：￥1295
１日料金：平日￥1620、土日祝￥1835
閉店2時間前：平日￥1295、土日祝￥1400","シューズ：￥215
チョーク：￥105","有／無料／6台","-","可※詳細はホームページをご覧下さい","http://www.westrock-climbing.com/","2015-07-21 14:57:54","2015-07-21 14:57:54","なし","東京都"
37,"hangout ［調布］","http://www.climbing-net.com/wp-content/uploads/2012/12/078-11.jpg","〒182-0007東京都調布市菊野台1-40-3 サホダコーポ第一1F","京王線柴崎駅より徒歩5分","042-426-7908","平日13:00〜23:00土日祝10:00〜21:00","【税込価格】
初回登録料：￥1620１日料金：平日￥1600
夜間料金・時間帯：￥1300（平日21:00～23:00）","シューズ：￥330チョーク：無料","有／無料／3台","今後開催予定","可5歳～","http://www.climbing-hangout.com","2015-07-21 14:57:55","2015-07-21 14:57:55","不定休","東京都"
38,"クライミングカフェ ISARA ［吉祥寺］","http://www.climbing-net.com/wp-content/uploads/2012/12/03_no_image21.jpg","〒181-0002東京都三鷹市牟礼4-18-25","JR中央線吉祥寺駅より徒歩20分","0422-72-0561","平日10:00〜22:00（会員のみ）土日祝11:00〜20:00","初回登録料：￥2100（水土日祝受付）１日料金：￥1200土日祝３時間：￥1200","シューズ：￥100チョーク：無料","無／近隣に4時間￥500の駐車場有り","-","可専用時間帯あり（土曜9:00〜11:00)","http://climbing-isara.blogto.jp/","2015-07-21 14:57:56","2015-07-21 14:57:56","月曜","東京都"
39,"Rock Climbing 三鷹ジム","http://www.climbing-net.com/wp-content/uploads/2012/12/076-11.jpg","〒180-0006東京都武蔵野市中町1-1-8 HN28ビルB1F","JR三鷹駅北口より徒歩1分","0422-56-2926","平日15:00～24:00土日祝10:00～21:00","【税別価格】
初回登録料：￥1000１日料金：平日￥1500、土日祝￥1700、平日火曜女性￥1000夜間料金・時間帯：￥1000（平日22:00～）、￥1200（土日祝19:00～）","シューズ：￥200（初回無料）チョーク：無料","-","-","可※詳細はホームページをご覧下さい","http://mitakagym.com/","2015-07-21 14:57:57","2015-07-21 14:57:57","なし（ホールド替え等で休業あり）","東京都"
40,"ロックランズ ［葛西］","http://www.climbing-net.com/wp-content/uploads/2012/12/054-11.jpg","〒134-0084東京都江戸川区東葛西5-27-16","東京メトロ東西線葛西駅より千葉方面線路沿い徒歩5分／首都高湾岸線葛西ランプより10分","03-5659-0808","平日14:00〜23:00土日祝10:00〜21:00","初回登録料：￥1575１日料金：￥2100夜間料金・時間帯：￥1575（14:00〜18:00、18:00〜23:00）","シューズ：￥210ハーネス：￥210チョーク：￥210ビレイ器具：￥210ロープ：￥525","有／￥525／4台","トップロープビレイ、リードビレイ","可専用壁あり専用時間帯ありキッズ向け用具レンタルありレッスンあり3歳〜12歳","http://www.rock-lands.com/","2015-07-21 14:57:57","2015-07-21 14:57:57","月曜（祝日の場合は営業）","東京都"
41,"T-WALL 錦糸町店","http://www.climbing-net.com/wp-content/uploads/2012/12/053-11.jpg","〒135-0001東京都江東区毛利2-10-12","JR・地下鉄半蔵門線 錦糸町駅より徒歩7分／都営新宿線・半蔵門線 住吉駅より徒歩6分","03-3634-0730","平日13:30〜22:40土日祝10:00〜20:00","初回登録料：￥540１日料金：￥2160夜間料金・時間帯：￥1620（平日20:00〜22:30）","シューズ：￥432ハーネス：￥324チョーク：￥216ロープ：￥432","-","・レベルアップ講習A：毎月第1土曜日　17:30〜19:30　講習料金：￥4320　定員4名緩傾斜において、基礎的な足の置き方と体重移動について講習します。クライミングを始めて間もない方が対象です。・レベルアップ講習B：毎月第2土曜日　17:30〜19:30　講習料金：￥4320　定員4名強傾斜における基本的なバランスのとり方とムーブの連動について講習します。体力を必要としますので、ある程度継続してクライミングを続けている方が対象です。・リード講習：毎月第3土曜日・第4土曜日(連続2回講習)　17:30〜19:30　講習料金：￥8640　定員4名リードクライミングの基本的なロープワークとビレイ方法、安全に登るための基礎知識について講習します。トップロープクライミングにおいて5.9を落ちずに安定して登る実力があり、ビレイ方法を習得している方が対象です。","可※詳細はホームページをご覧下さい","http://twall.jp/","2015-07-21 14:57:58","2015-07-21 14:57:58","月曜","東京都"
42,"T-WALL 江戸川橋店","http://www.climbing-net.com/wp-content/uploads/2012/12/052-11.jpg","〒112-0005東京都文京区水道2-5-23","東京メトロ有楽町線江戸川橋駅より徒歩5分／東西線神楽坂駅より徒歩9分","03-5802-2273","平日14:00〜23:00土日祝10:00〜20:00","初回登録料：￥540１日料金：￥2160夜間料金・時間帯：￥1620（平日20:00〜22:30）","シューズ：￥432ハーネス：￥324チョーク：￥216ロープ：￥432","-","・レベルアップ講習A：毎月第3日曜日　17:30〜19:30　講習料金：￥4320　定員4名緩傾斜において、基礎的な足の置き方と体重移動について講習します。クライミングを始めて間もない方が対象です。・レベルアップ講習B：毎月第4日曜日　17:30〜19:30　講習料金：￥4320　定員4名強傾斜における基本的なバランスのとり方とムーブの連動について講習します。体力を必要としますので、ある程度継続してクライミングを続けている方が対象です。・リード講習：毎月第1日曜日・第2日曜日(連続2回講習)　17:30〜19:30　講習料金：￥8640　定員4名リードクライミングの基本的なロープワークとビレイ方法、安全に登るための基礎知識について講習します。トップロープクライミングにおいて5.9を落ちずに安定して登る実力があり、ビレイ方法を習得している方が対象です。","可
専用時間帯あり（小学生以下）　
　平日：開店より18時までの間
　土日・祝日：開店より13時までの間
　(時間外は利用できません)
キッズ向け用具レンタルあり
※中学生以下の利用には2名までに対し、保護者1名の監督が常時必要になります","http://twall.jp/","2015-07-21 14:57:59","2015-07-21 14:57:59","第1・3月曜","東京都"
